128up	FBgn0176208	FBgn0182597	
Acon	FBgn0178264	FBgn0195654	
Acp1	FBgn0168315	FBgn0193875	
Acp24A4	FBgn0173036	FBgn0083474	
Acp26Aa	FBgn0260790	FBgn0012820	
Acp26Ab	FBgn0260791	FBgn0012821	
Acp29AB	FBgn0064379	FBgn0027418	
Acp32CD	FBgn0173712	FBgn0043403	
Acp36DE	FBgn0064378	FBgn0041931	
Acp53C14a	FBgn0174920	FBgn0069522	
Acp53C14b	FBgn0174919	FBgn0069521	
Acp53C14c	FBgn0174918	FBgn0069520	
Acp53Ea	FBgn0064377	FBgn0043401	
Acp62F	FBgn0069552	FBgn0043400	
Acp63F	FBgn0168965	FBgn0043399	
Acp65Aa	FBgn0168792	FBgn0184866	
Acp70A	FBgn0012779	FBgn0021129	
Acp76A	FBgn0168076	FBgn0043398	
Acp95EF	FBgn0181428	FBgn0250854	
Acph-1	FBgn0167136	FBgn0189058	
Acsl	FBgn0175936	FBgn0182359	
Act42A	FBgn0171407	FBgn0182114	
Act5C	FBgn0167384	FBgn0188352	
Actbeta	FBgn0167941	FBgn0189392	
Actn3	FBgn0170318	FBgn0191741	
Acyp	FBgn0170293	FBgn0069519	
Ada	FBgn0178649	FBgn0190117	
Ada2b	FBgn0181217	FBgn0192346	
Adam	FBgn0166065	FBgn0182469	
Adf1	FBgn0175766	FBgn0182186	
Adgf-A	FBgn0179175	FBgn0184113	
Adgf-B	FBgn0179176	FBgn0184114	
Adgf-C	FBgn0178989	FBgn0190435	
Adgf-D	FBgn0180768	FBgn0191950	
Adgf-E	FBgn0175079	FBgn0196952	
Adh	FBgn0012780	FBgn0012824	
Adhr	FBgn0012781	FBgn0012825	
Adk1	FBgn0179535	FBgn0184468	
Adk2	FBgn0173196	FBgn0183564	
Adk3	FBgn0180991	FBgn0192156	
AdoR	FBgn0167118	FBgn0188872	
Ady43A	FBgn0175691	FBgn0182041	
Aef1	FBgn0177237	FBgn0186631	
Afti	FBgn0180715	FBgn0191900	
Ag5r2	FBgn0166981	FBgn0195081	
Ahcy13	FBgn0174464	FBgn0188773	
Ahcy89E	FBgn0170317	FBgn0191740	
Ak6	FBgn0175234	FBgn0197110	
Akap200	FBgn0171853	FBgn0194919	
Akh	FBgn0169548	FBgn0185514	
Akt1	FBgn0179148	FBgn0190581	
AlCR2	FBgn0169858	FBgn0184073	
Ald	FBgn0165140	FBgn0189683	
Aldh	FBgn0172349	FBgn0194978	
Aldh-III	FBgn0175672	FBgn0182027	
Alg10	FBgn0180117	FBgn0185976	
Alh	FBgn0165456	FBgn0191002	
AlkB	FBgn0177387	FBgn0196000	
Alr	FBgn0177861	FBgn0189020	
AlstR	FBgn0167236	FBgn0188239	
Ama	FBgn0165859	FBgn0046919	
Amph	FBgn0176288	FBgn0182666	
Amun	FBgn0167983	FBgn0187625	
Amyrel	FBgn0025060	FBgn0021128	
Ance-3	FBgn0170304	FBgn0195304	
Ance-4	FBgn0175521	FBgn0181887	
Ance-5	FBgn0166725	FBgn0196226	
Andorra	FBgn0177702	FBgn0195995	
AnnIX	FBgn0169981	FBgn0190894	
AnnX	FBgn0177557	FBgn0194323	
Antp	FBgn0165469	FBgn0191011	
Anxb11	FBgn0168332	FBgn0187411	
Aos1	FBgn0180863	FBgn0192033	
Apc10	FBgn0174860	FBgn0196763	
Apc2	FBgn0181421	FBgn0192527	
Apc7	FBgn0167439	FBgn0188395	
Apf	FBgn0167044	FBgn0183715	
Aph-4	FBgn0167851	FBgn0083464	
Appl	FBgn0173976	FBgn0188117	
Aprt	FBgn0169083	FBgn0185140	
Aps	FBgn0179656	FBgn0189134	
Arc42	FBgn0181719	FBgn0190821	
Arf102F	FBgn0167957	FBgn0191964	
Arf51F	FBgn0176483	FBgn0182864	
Arf72A	FBgn0180428	FBgn0186266	
Arf79F	FBgn0176944	FBgn0183788	
Arf84F	FBgn0178591	FBgn0190059	
ArfGAP3	FBgn0176955	FBgn0183798	
Ark	FBgn0176626	FBgn0182991	
Arp1	FBgn0178922	FBgn0190368	
Arp10	FBgn0177592	FBgn0195789	
Arp2	FBgn0168322	FBgn0187404	
Arp3	FBgn0179834	FBgn0189141	
Arp5	FBgn0170202	FBgn0190712	
Arp53D	FBgn0176599	FBgn0182967	
Arp6	FBgn0177402	FBgn0187442	
Arp8	FBgn0177717	FBgn0187321	
Arpc1	FBgn0170013	FBgn0193452	
Arpc2	FBgn0178213	FBgn0195603	
Arpc3A	FBgn0179128	FBgn0190559	
Arpc3B	FBgn0168272	FBgn0187364	
Arpc4	FBgn0173512	FBgn0194774	
Arpc5	FBgn0173254	FBgn0194551	
Arr1	FBgn0172171	FBgn0195482	
Arr2	FBgn0179784	FBgn0184693	
Ars2	FBgn0171397	FBgn0182107	
Art1	FBgn0181003	FBgn0192168	
Art2	FBgn0173007	FBgn0194114	
Art3	FBgn0180651	FBgn0191845	
Art4	FBgn0181055	FBgn0192213	
Art6	FBgn0180753	FBgn0191938	
Art7	FBgn0170504	FBgn0196396	
Art8	FBgn0166148	FBgn0193612	
Art9	FBgn0180754	FBgn0191939	
Asator	FBgn0181632	FBgn0195720	
Asph	FBgn0176539	FBgn0182914	
Ast	FBgn0178334	FBgn0189808	
Ast-C	FBgn0166119	FBgn0193607	
Ast-CC	FBgn0166116	FBgn0193606	
Asx	FBgn0176432	FBgn0182818	
Atac2	FBgn0171993	FBgn0193246	
Atac3	FBgn0169208	FBgn0196997	
Ate1	FBgn0082780	FBgn0082760	
Atet	FBgn0173370	FBgn0194663	
Atf3	FBgn0173891	FBgn0188046	
Atf6	FBgn0181588	FBgn0189028	
Atg1	FBgn0179492	FBgn0184423	
Atg12	FBgn0180189	FBgn0186045	
Atg13	FBgn0178596	FBgn0190063	
Atg18	FBgn0179886	FBgn0185753	
Atg4	FBgn0171701	FBgn0194457	
Atg5	FBgn0172382	FBgn0083471	
Atg6	FBgn0178383	FBgn0189857	
Atg7	FBgn0174780	FBgn0196676	
Atg8a	FBgn0166233	FBgn0187657	
Atg8b	FBgn0170266	FBgn0191695	
Atg9	FBgn0083480	FBgn0083470	
Atox1	FBgn0177265	FBgn0186656	
Atpalpha	FBgn0169975	FBgn0190889	
AttC	FBgn0176346	FBgn0046916	
AttD	FBgn0170171	FBgn0190681	
Atu	FBgn0165766	FBgn0191288	
Atx-1	FBgn0167472	FBgn0188404	
Atx2	FBgn0179097	FBgn0190531	
Aut1	FBgn0169912	FBgn0186442	
Aven	FBgn0166483	FBgn0187571	
Awh	FBgn0169513	FBgn0185484	
Axn	FBgn0167788	FBgn0068704	
Axs	FBgn0168308	FBgn0187395	
Axud1	FBgn0173240	FBgn0194538	
B-H1	FBgn0168440	FBgn0187330	
B-H2	FBgn0168437	FBgn0187328	
B4	FBgn0180323	FBgn0193468	
BBS1	FBgn0169740	FBgn0185688	
BBS4	FBgn0176134	FBgn0182532	
BBS8	FBgn0171655	FBgn0194416	
BCL7-like	FBgn0166310	FBgn0068703	
BEAF-32	FBgn0176450	FBgn0182833	
BG4	FBgn0181249	FBgn0192375	
BHD	FBgn0169747	FBgn0185696	
BM-40-SPARC	FBgn0165112	FBgn0189657	
BRWD3	FBgn0181440	FBgn0192543	
Baldspot	FBgn0179242	FBgn0184182	
Bap170	FBgn0175761	FBgn0182182	
Bap55	FBgn0174870	FBgn0196774	
Bap60	FBgn0166453	FBgn0187553	
Bem46	FBgn0173291	FBgn0183741	
Best1	FBgn0181035	FBgn0192195	
Best2	FBgn0168776	FBgn0184853	
Best3	FBgn0179357	FBgn0184293	
Best4	FBgn0180377	FBgn0186216	
Bet1	FBgn0169935	FBgn0186465	
Bet3	FBgn0179734	FBgn0184648	
Bet5	FBgn0167802	FBgn0025411	
Bgb	FBgn0169354	FBgn0189171	
BicC	FBgn0173557	FBgn0195395	
BicD	FBgn0172037	FBgn0193286	
Bili	FBgn0172714	FBgn0192629	
Bin1	FBgn0180584	FBgn0191780	
Bj1	FBgn0168815	FBgn0184888	
Bka	FBgn0172641	FBgn0195011	
Blm	FBgn0180932	FBgn0192106	
Bmcp	FBgn0180153	FBgn0186009	
BoYb	FBgn0177351	FBgn0186733	
Br140	FBgn0175687	FBgn0186978	
Brca2	FBgn0166811	FBgn0183607	
Brd	FBgn0180348	FBgn0186193	
Brd8	FBgn0167714	FBgn0084053	
Brf	FBgn0170289	FBgn0191715	
Bro	FBgn0169356	FBgn0084471	
Bruce	FBgn0181028	FBgn0192189	
Bsg	FBgn0171645	FBgn0194882	
Bsg25A	FBgn0172986	FBgn0194094	
Bsg25D	FBgn0172937	FBgn0194056	
Btd	FBgn0167525	FBgn0187833	
Bteb2	FBgn0167603	FBgn0187902	
Btk29A	FBgn0168031	FBgn0193828	
Bub1	FBgn0173451	FBgn0194719	
Bub3	FBgn0167169	FBgn0189246	
BubR1	FBgn0171409	FBgn0182117	
Buffy	FBgn0176181	FBgn0182572	
Bx	FBgn0177774	FBgn0188956	
Bx42	FBgn0168611	FBgn0195897	
C15	FBgn0165377	FBgn0190929	
C1GalTA	FBgn0167586	FBgn0193781	
C3G	FBgn0167486	FBgn0187806	
C901	FBgn0166218	FBgn0187651	
CAH1	FBgn0170142	FBgn0083469	
CAH2	FBgn0180192	FBgn0186049	
CAHbeta	FBgn0178637	FBgn0190104	
CAP-D2	FBgn0167739	FBgn0192883	
CASK	FBgn0178558	FBgn0190026	
CCHa1	FBgn0180747	FBgn0191932	
CCHa1r	FBgn0174848	FBgn0196749	
CCHa2	FBgn0180797	FBgn0191973	
CCHa2r	FBgn0171448	FBgn0182166	
CCKLR-17D3	FBgn0177655	FBgn0187282	
CCS	FBgn0175431	FBgn0197280	
CD98hc	FBgn0165390	FBgn0190943	
CDC45L	FBgn0173903	FBgn0188054	
CDase	FBgn0167813	FBgn0192946	
CG10000	FBgn0167223	FBgn0189565	
CG10005	FBgn0180909	FBgn0192084	
CG10006	FBgn0180354	FBgn0186199	
CG10011	FBgn0171199	FBgn0189570	
CG10013	FBgn0178877	FBgn0190329	
CG10014	FBgn0178868	FBgn0190320	
CG10019	FBgn0173339	FBgn0194639	
CG10026	FBgn0172260	FBgn0195558	
CG10029	FBgn0165434	FBgn0190982	
CG10031	FBgn0173031	FBgn0194129	
CG10032	FBgn0165893	FBgn0191410	
CG10035	FBgn0180874	FBgn0192044	
CG10038	FBgn0180881	FBgn0192051	
CG10041	FBgn0180880	FBgn0192049	
CG10050	FBgn0165890	FBgn0191408	
CG10051	FBgn0176829	FBgn0183197	
CG10053	FBgn0165889	FBgn0191407	
CG10055	FBgn0165448	FBgn0190993	
CG10062	FBgn0176830	FBgn0183198	
CG10063	FBgn0168732	FBgn0184822	
CG10064	FBgn0168734	FBgn0184824	
CG10068	FBgn0165453	FBgn0190998	
CG10075	FBgn0168738	FBgn0184826	
CG10077	FBgn0168739	FBgn0184827	
CG10082	FBgn0170764	FBgn0183350	
CG10083	FBgn0179449	FBgn0184381	
CG10086	FBgn0165918	FBgn0191430	
CG10089	FBgn0179450	FBgn0184382	
CG10092	FBgn0175945	FBgn0191438	
CG10098	FBgn0165878	FBgn0191396	
CG10104	FBgn0176422	FBgn0182811	
CG10116	FBgn0179451	FBgn0184383	
CG10126	FBgn0180831	FBgn0192007	
CG10131	FBgn0176440	FBgn0182826	
CG10132	FBgn0172267	FBgn0195566	
CG10133	FBgn0179452	FBgn0184384	
CG10137	FBgn0172270	FBgn0195567	
CG10139	FBgn0176443	FBgn0182828	
CG10140	FBgn0179453	FBgn0184385	
CG10144	FBgn0168769	FBgn0184846	
CG10147	FBgn0168770	FBgn0184847	
CG10153	FBgn0175070	FBgn0196945	
CG10154	FBgn0179454	FBgn0184386	
CG10157	FBgn0181365	FBgn0192476	
CG10158	FBgn0168662	FBgn0193930	
CG10163	FBgn0168775	FBgn0184851	
CG10164	FBgn0178423	FBgn0189901	
CG10165	FBgn0171914	FBgn0193169	
CG10166	FBgn0171915	FBgn0193170	
CG10175	FBgn0178427	FBgn0189905	
CG10176	FBgn0172187	FBgn0195495	
CG10184	FBgn0178419	FBgn0189895	
CG10185	FBgn0180592	FBgn0191784	
CG10186	FBgn0171916	FBgn0193173	
CG10189	FBgn0171918	FBgn0193176	
CG10194	FBgn0171919	FBgn0193177	
CG10195	FBgn0171920	FBgn0193178	
CG10200	FBgn0176453	FBgn0182835	
CG10202	FBgn0175064	FBgn0196940	
CG10205	FBgn0176454	FBgn0182836	
CG10208	FBgn0178404	FBgn0189880	
CG10209	FBgn0175059	FBgn0196938	
CG1021	FBgn0165501	FBgn0191041	
CG10211	FBgn0172189	FBgn0195496	
CG10214	FBgn0178406	FBgn0189882	
CG10217	FBgn0178407	FBgn0189883	
CG10219	FBgn0178408	FBgn0189884	
CG10222	FBgn0179460	FBgn0184393	
CG10232	FBgn0178412	FBgn0189888	
CG10237	FBgn0171922	FBgn0193181	
CG1024	FBgn0165502	FBgn0191042	
CG10249	FBgn0175049	FBgn0196929	
CG10252	FBgn0178416	FBgn0189892	
CG10253	FBgn0175048	FBgn0196928	
CG10254	FBgn0178417	FBgn0189893	
CG10257	FBgn0176465	FBgn0182848	
CG10262	FBgn0171908	FBgn0193164	
CG10264	FBgn0179144	FBgn0190577	
CG10268	FBgn0171910	FBgn0193166	
CG10277	FBgn0165840	FBgn0191361	
CG10280	FBgn0165523	FBgn0191062	
CG10283	FBgn0171998	FBgn0193251	
CG10286	FBgn0165837	FBgn0191359	
CG10289	FBgn0168788	FBgn0184863	
CG10298	FBgn0165832	FBgn0191354	
CG10300	FBgn0181377	FBgn0192487	
CG10301	FBgn0181376	FBgn0192486	
CG10306	FBgn0170771	FBgn0183357	
CG10307	FBgn0170772	FBgn0183358	
CG10311	FBgn0170360	FBgn0191772	
CG10317	FBgn0170355	FBgn0191768	
CG10321	FBgn0170763	FBgn0084073	
CG10324	FBgn0170333	FBgn0191748	
CG10332	FBgn0170443	FBgn0196342	
CG10333	FBgn0172192	FBgn0195500	
CG10336	FBgn0172196	FBgn0195504	
CG10337	FBgn0171912	FBgn0193168	
CG10338	FBgn0172197	FBgn0195505	
CG10340	FBgn0170335	FBgn0191750	
CG10341	FBgn0172198	FBgn0195506	
CG10343	FBgn0172199	FBgn0195507	
CG10344	FBgn0170557	FBgn0196440	
CG10345	FBgn0170338	FBgn0191752	
CG10347	FBgn0167970	FBgn0187612	
CG10348	FBgn0171976	FBgn0193231	
CG10352	FBgn0167966	FBgn0187608	
CG10357	FBgn0169503	FBgn0185475	
CG10359	FBgn0169502	FBgn0185474	
CG10362	FBgn0168168	FBgn0187603	
CG10366	FBgn0172284	FBgn0195578	
CG10375	FBgn0181384	FBgn0192493	
CG10376	FBgn0171982	FBgn0193235	
CG10383	FBgn0171983	FBgn0193237	
CG10384	FBgn0170830	FBgn0183412	
CG10395	FBgn0166047	FBgn0182142	
CG10396	FBgn0166048	FBgn0182143	
CG10405	FBgn0170078	FBgn0190608	
CG10407	FBgn0180594	FBgn0191785	
CG10413	FBgn0171994	FBgn0193247	
CG10417	FBgn0166037	FBgn0182132	
CG10418	FBgn0180199	FBgn0186057	
CG10420	FBgn0172648	FBgn0189757	
CG10424	FBgn0169814	FBgn0184037	
CG10425	FBgn0172645	FBgn0189755	
CG10431	FBgn0172213	FBgn0195521	
CG10433	FBgn0170624	FBgn0196498	
CG10435	FBgn0165385	FBgn0190938	
CG10440	FBgn0170627	FBgn0196499	
CG10444	FBgn0082779	FBgn0082758	
CG10445	FBgn0165393	FBgn0190948	
CG10459	FBgn0176027	FBgn0182444	
CG10462	FBgn0171906	FBgn0193162	
CG10463	FBgn0172287	FBgn0195581	
CG10465	FBgn0166040	FBgn0182135	
CG10466	FBgn0172288	FBgn0195582	
CG10467	FBgn0168802	FBgn0184877	
CG10469	FBgn0168803	FBgn0184878	
CG10470	FBgn0172228	FBgn0195531	
CG10472	FBgn0168805	FBgn0184880	
CG10477	FBgn0168808	FBgn0184881	
CG10479	FBgn0168812	FBgn0184885	
CG10481	FBgn0171895	FBgn0193152	
CG10483	FBgn0168816	FBgn0184889	
CG10486	FBgn0168817	FBgn0184890	
CG10494	FBgn0170633	FBgn0196507	
CG10495	FBgn0172231	FBgn0195535	
CG10496	FBgn0170634	FBgn0196508	
CG10505	FBgn0170650	FBgn0196523	
CG10508	FBgn0177218	FBgn0186613	
CG10510	FBgn0177030	FBgn0183872	
CG10512	FBgn0177217	FBgn0189198	
CG10513	FBgn0172643	FBgn0189752	
CG10514	FBgn0172642	FBgn0189751	
CG10516	FBgn0180423	FBgn0186261	
CG10527	FBgn0170668	FBgn0196539	
CG10543	FBgn0170709	FBgn0183295	
CG10550	FBgn0172636	FBgn0189746	
CG10553	FBgn0172632	FBgn0189742	
CG10555	FBgn0176420	FBgn0191580	
CG10560	FBgn0172631	FBgn0189741	
CG10561	FBgn0172237	FBgn0025651	
CG10565	FBgn0177037	FBgn0183880	
CG10566	FBgn0177212	FBgn0186607	
CG10570	FBgn0171974	FBgn0193228	
CG10576	FBgn0168832	FBgn0184900	
CG10581	FBgn0177039	FBgn0183882	
CG10584	FBgn0177040	FBgn0183883	
CG10585	FBgn0177206	FBgn0186598	
CG10589	FBgn0177202	FBgn0186593	
CG10590	FBgn0168837	FBgn0184905	
CG10591	FBgn0168838	FBgn0184906	
CG10592	FBgn0168839	FBgn0184907	
CG10598	FBgn0168262	FBgn0187353	
CG10600	FBgn0171971	FBgn0193226	
CG10602	FBgn0171968	FBgn0193223	
CG10616	FBgn0180204	FBgn0186062	
CG10621	FBgn0171962	FBgn0193217	
CG10623	FBgn0171961	FBgn0193216	
CG10625	FBgn0168845	FBgn0184913	
CG10628	FBgn0171902	FBgn0193158	
CG10635	FBgn0168851	FBgn0184922	
CG10638	FBgn0179513	FBgn0184441	
CG10639	FBgn0171959	FBgn0193214	
CG10641	FBgn0171958	FBgn0193213	
CG10646	FBgn0179512	FBgn0189127	
CG10650	FBgn0171955	FBgn0193211	
CG10651	FBgn0178203	FBgn0183699	
CG10654	FBgn0179511	FBgn0184439	
CG10657	FBgn0179514	FBgn0184442	
CG10660	FBgn0179515	FBgn0184443	
CG10669	FBgn0172626	FBgn0189738	
CG10671	FBgn0168859	FBgn0189149	
CG10673	FBgn0168861	FBgn0184933	
CG10674	FBgn0168862	FBgn0184934	
CG10680	FBgn0172295	FBgn0195586	
CG10681	FBgn0180206	FBgn0186064	
CG10688	FBgn0180211	FBgn0186069	
CG10694	FBgn0181409	FBgn0192518	
CG10700	FBgn0171943	FBgn0193201	
CG10702	FBgn0171948	FBgn0193204	
CG10703	FBgn0180968	FBgn0190264	
CG10710	FBgn0179446	FBgn0184379	
CG10713	FBgn0179455	FBgn0184387	
CG10721	FBgn0172302	FBgn0183776	
CG10725	FBgn0180276	FBgn0186131	
CG10730	FBgn0171879	FBgn0193141	
CG10731	FBgn0174972	FBgn0196852	
CG10732	FBgn0180278	FBgn0186133	
CG10734	FBgn0174971	FBgn0196851	
CG10738	FBgn0180280	FBgn0186134	
CG1074	FBgn0165704	FBgn0191222	
CG10741	FBgn0180283	FBgn0186136	
CG10747	FBgn0171876	FBgn0193138	
CG10748	FBgn0179481	FBgn0184411	
CG10749	FBgn0180242	FBgn0186099	
CG10752	FBgn0179483	FBgn0184413	
CG10754	FBgn0179491	FBgn0184421	
CG10761	FBgn0166147	FBgn0195905	
CG10764	FBgn0176653	FBgn0183018	
CG1077	FBgn0165803	FBgn0191329	
CG10777	FBgn0166903	FBgn0187774	
CG10778	FBgn0166902	FBgn0187773	
CG10795	FBgn0170639	FBgn0196512	
CG10799	FBgn0176341	FBgn0182720	
CG10801	FBgn0167229	FBgn0188234	
CG10802	FBgn0167230	FBgn0188235	
CG10804	FBgn0167659	FBgn0187952	
CG10809	FBgn0179696	FBgn0184611	
CG10814	FBgn0175168	FBgn0197046	
CG10822	FBgn0176864	FBgn0183235	
CG10824	FBgn0170016	FBgn0191486	
CG10827	FBgn0170038	FBgn0191503	
CG10830	FBgn0178017	FBgn0191506	
CG10834	FBgn0171032	FBgn0193043	
CG10839	FBgn0173551	FBgn0084735	
CG10841	FBgn0178980	FBgn0190426	
CG10845	FBgn0181495	FBgn0192596	
CG10853	FBgn0169523	FBgn0185493	
CG10858	FBgn0168971	FBgn0185039	
CG10859	FBgn0180400	FBgn0193474	
CG10862	FBgn0168975	FBgn0185041	
CG10863	FBgn0168956	FBgn0185027	
CG10864	FBgn0173605	FBgn0189502	
CG10866	FBgn0168958	FBgn0185029	
CG10869	FBgn0171517	FBgn0194298	
CG10874	FBgn0173168	FBgn0194264	
CG10877	FBgn0178051	FBgn0191538	
CG10880	FBgn0173162	FBgn0194258	
CG10881	FBgn0177979	FBgn0190854	
CG10887	FBgn0177965	FBgn0190840	
CG10889	FBgn0172605	FBgn0191564	
CG10898	FBgn0178817	FBgn0190283	
CG10899	FBgn0178321	FBgn0189793	
CG1090	FBgn0165694	FBgn0191210	
CG10903	FBgn0165940	FBgn0191448	
CG10904	FBgn0170403	FBgn0196301	
CG10907	FBgn0180158	FBgn0186014	
CG10909	FBgn0180829	FBgn0192004	
CG1091	FBgn0165459	FBgn0191005	
CG10910	FBgn0176715	FBgn0183081	
CG10911	FBgn0174817	FBgn0196715	
CG10912	FBgn0174816	FBgn0196714	
CG10914	FBgn0176727	FBgn0183093	
CG10915	FBgn0176728	FBgn0183094	
CG10916	FBgn0176730	FBgn0183095	
CG10919	FBgn0165916	FBgn0191428	
CG1092	FBgn0165687	FBgn0191203	
CG10920	FBgn0166914	FBgn0187780	
CG10924	FBgn0176771	FBgn0183140	
CG10927	FBgn0176775	FBgn0183144	
CG10931	FBgn0176697	FBgn0183061	
CG10932	FBgn0166908	FBgn0195909	
CG10933	FBgn0176691	FBgn0183054	
CG10934	FBgn0176690	FBgn0183053	
CG10936	FBgn0174849	FBgn0064354	
CG10947	FBgn0178196	FBgn0193127	
CG10948	FBgn0179489	FBgn0184419	
CG10949	FBgn0178195	FBgn0193126	
CG10950	FBgn0176643	FBgn0183006	
CG10953	FBgn0174881	FBgn0196780	
CG10958	FBgn0166172	FBgn0188461	
CG10959	FBgn0166176	FBgn0188466	
CG10960	FBgn0179490	FBgn0184420	
CG10962	FBgn0168622	FBgn0187729	
CG10969	FBgn0179493	FBgn0184425	
CG10970	FBgn0168617	FBgn0187726	
CG10973	FBgn0179496	FBgn0184429	
CG10979	FBgn0165788	FBgn0191312	
CG10984	FBgn0180227	FBgn0186084	
CG10996	FBgn0172492	FBgn0187525	
CG11007	FBgn0176847	FBgn0183212	
CG11018	FBgn0176855	FBgn0183223	
CG11029	FBgn0173475	FBgn0194746	
CG1103	FBgn0165693	FBgn0191209	
CG11030	FBgn0173476	FBgn0194747	
CG11034	FBgn0173480	FBgn0194750	
CG11035	FBgn0165382	FBgn0190933	
CG1104	FBgn0165461	FBgn0191007	
CG11041	FBgn0176869	FBgn0183239	
CG11043	FBgn0171090	FBgn0085859	
CG11044	FBgn0176872	FBgn0183241	
CG1105	FBgn0165462	FBgn0195900	
CG11050	FBgn0171099	FBgn0194804	
CG11052	FBgn0165386	FBgn0190939	
CG11055	FBgn0082777	FBgn0082756	
CG11060	FBgn0175816	FBgn0182232	
CG11068	FBgn0172556	FBgn0195512	
CG11069	FBgn0181494	FBgn0192595	
CG11070	FBgn0171114	FBgn0194807	
CG11073	FBgn0170580	FBgn0196457	
CG11076	FBgn0167945	FBgn0195708	
CG11077	FBgn0167946	FBgn0195709	
CG11085	FBgn0166516	FBgn0196117	
CG11089	FBgn0181493	FBgn0192594	
CG1109	FBgn0165776	FBgn0191298	
CG11095	FBgn0172552	FBgn0188717	
CG11099	FBgn0082776	FBgn0082755	
CG11103	FBgn0172549	FBgn0188713	
CG11106	FBgn0166408	FBgn0188586	
CG11109	FBgn0177346	FBgn0186729	
CG11110	FBgn0176903	FBgn0183271	
CG11112	FBgn0175829	FBgn0182243	
CG11113	FBgn0175830	FBgn0182244	
CG11120	FBgn0172679	FBgn0192599	
CG11123	FBgn0175835	FBgn0182250	
CG11125	FBgn0175837	FBgn0182252	
CG11127	FBgn0175838	FBgn0182254	
CG1113	FBgn0165742	FBgn0191259	
CG11131	FBgn0177350	FBgn0186732	
CG11134	FBgn0172543	FBgn0188711	
CG11137	FBgn0176945	FBgn0183789	
CG11145	FBgn0175679	FBgn0182034	
CG11147	FBgn0172908	FBgn0194034	
CG11148	FBgn0181619	FBgn0195712	
CG11149	FBgn0172910	FBgn0186609	
CG1115	FBgn0165740	FBgn0191257	
CG11151	FBgn0172545	FBgn0196133	
CG11158	FBgn0172536	FBgn0188709	
CG11159	FBgn0174667	FBgn0196570	
CG1116	FBgn0165738	FBgn0191255	
CG11160	FBgn0166393	FBgn0188574	
CG11163	FBgn0171413	FBgn0182121	
CG11164	FBgn0172534	FBgn0188707	
CG11165	FBgn0175875	FBgn0182294	
CG11168	FBgn0172678	FBgn0192598	
CG11178	FBgn0172527	FBgn0196131	
CG11180	FBgn0174673	FBgn0196576	
